iter	Passed	Remaining
0	5	5285
1	11	5715
2	17	5733
3	22	5609
4	27	5479
5	32	5444
6	39	5547
7	44	5512
8	49	5405
9	53	5310
10	59	5357
11	64	5275
12	68	5213
13	73	5203
14	78	5180
15	83	5128
16	88	5097
17	93	5081
18	97	5046
19	102	5013
20	106	4976
21	110	4925
22	115	4907
23	119	4877
24	124	4852
25	128	4829
26	133	4807
27	137	4777
28	141	4754
29	147	4758
30	151	4751
31	156	4743
32	161	4735
33	168	4776
34	173	4793
35	179	4809
36	184	4797
37	188	4782
38	193	4765
39	198	4754
40	202	4746
41	207	4744
42	214	4763
43	219	4765
44	225	4776
45	230	4788
46	235	4772
47	239	4756
48	244	4736
49	249	4731
50	253	4723
51	257	4703
52	262	4698
53	267	4685
54	272	4675
55	276	4666
56	282	4667
57	286	4659
58	291	4650
59	296	4644
60	301	4636
61	305	4624
62	310	4615
63	315	4608
64	319	4595
65	323	4583
66	329	4582
67	334	4581
68	338	4570
69	343	4557
70	347	4550
71	351	4536
72	356	4525
73	361	4517
74	366	4516
75	372	4523
76	378	4537
77	383	4537
78	388	4528
79	392	4517
80	397	4506
81	401	4493
82	405	4482
83	410	4472
84	414	4463
85	418	4452
86	422	4431
87	426	4422
88	430	4410
89	435	4399
90	439	4394
91	444	4386
92	448	4377
93	453	4368
94	457	4361
95	462	4355
96	466	4346
97	471	4342
98	475	4329
99	480	4322
100	484	4314
101	489	4308
102	492	4291
103	497	4285
104	501	4276
105	506	4270
106	511	4264
107	515	4253
108	521	4263
109	527	4270
110	533	4273
111	539	4280
112	545	4279
113	549	4272
114	554	4268
115	559	4260
116	563	4254
117	568	4246
118	573	4246
119	578	4243
120	583	4236
121	588	4233
122	592	4225
123	597	4218
124	601	4213
125	606	4206
126	610	4199
127	615	4191
128	620	4186
129	624	4178
130	628	4170
131	633	4166
132	637	4156
133	642	4151
134	647	4146
135	651	4141
136	656	4136
137	661	4130
138	667	4132
139	672	4133
140	679	4139
141	685	4140
142	690	4136
143	694	4131
144	699	4123
145	703	4117
146	708	4108
147	712	4102
148	717	4097
149	721	4089
150	726	4082
151	730	4077
152	735	4070
153	739	4062
154	743	4054
155	748	4047
156	752	4039
157	756	4031
158	760	4024
159	765	4017
160	769	4009
161	774	4004
162	778	3997
163	783	3993
164	787	3986
165	792	3980
166	797	3976
167	802	3973
168	806	3966
169	811	3962
170	817	3961
171	821	3955
172	826	3949
173	831	3949
174	837	3948
175	843	3947
176	848	3944
177	853	3941
178	859	3943
179	865	3941
180	870	3936
181	874	3931
182	880	3929
183	885	3925
184	889	3919
185	894	3913
186	899	3909
187	903	3902
188	908	3898
189	913	3892
190	917	3886
191	921	3879
192	926	3874
193	931	3869
194	935	3861
195	940	3856
196	944	3848
197	948	3840
198	952	3834
199	957	3828
200	961	3822
201	966	3816
202	970	3810
203	975	3806
204	979	3799
205	984	3796
206	990	3794
207	996	3793
208	1001	3790
209	1007	3791
210	1013	3790
211	1018	3785
212	1023	3779
213	1028	3776
214	1032	3770
215	1037	3765
216	1041	3759
217	1046	3754
218	1051	3748
219	1055	3742
220	1059	3736
221	1064	3730
222	1069	3724
223	1073	3720
224	1078	3715
225	1083	3709
226	1087	3704
227	1092	3697
228	1096	3690
229	1100	3684
230	1106	3682
231	1110	3676
232	1115	3671
233	1119	3664
234	1123	3658
235	1128	3652
236	1132	3647
237	1137	3642
238	1143	3639
239	1148	3637
240	1154	3636
241	1159	3630
242	1163	3624
243	1167	3618
244	1172	3612
245	1176	3606
246	1180	3599
247	1185	3595
248	1191	3593
249	1195	3587
250	1201	3585
251	1206	3581
252	1211	3575
253	1216	3571
254	1220	3566
255	1224	3559
256	1229	3554
257	1234	3549
258	1238	3543
259	1243	3537
260	1247	3533
261	1252	3527
262	1256	3521
263	1261	3517
264	1265	3511
265	1270	3506
266	1274	3500
267	1280	3496
268	1285	3494
269	1290	3489
270	1296	3488
271	1302	3485
272	1306	3479
273	1310	3472
274	1316	3469
275	1321	3466
276	1325	3460
277	1330	3455
278	1334	3449
279	1339	3443
280	1343	3437
281	1348	3433
282	1353	3428
283	1357	3422
284	1362	3418
285	1367	3414
286	1371	3407
287	1376	3403
288	1381	3398
289	1385	3392
290	1390	3386
291	1395	3383
292	1399	3376
293	1403	3370
294	1408	3366
295	1413	3361
296	1417	3355
297	1422	3349
298	1427	3346
299	1432	3342
300	1437	3338
301	1442	3334
302	1447	3330
303	1451	3324
304	1456	3318
305	1460	3312
306	1464	3306
307	1469	3300
308	1473	3294
309	1477	3288
310	1481	3282
311	1485	3276
312	1490	3270
313	1494	3264
314	1498	3258
315	1502	3253
316	1507	3247
317	1511	3242
318	1516	3236
319	1520	3231
320	1524	3225
321	1529	3220
322	1533	3214
323	1537	3207
324	1541	3201
325	1545	3195
326	1551	3192
327	1555	3186
328	1559	3181
329	1563	3175
330	1568	3169
331	1572	3164
332	1576	3158
333	1581	3152
334	1587	3151
335	1592	3147
336	1597	3143
337	1602	3139
338	1607	3135
339	1612	3130
340	1618	3127
341	1623	3123
342	1628	3119
343	1633	3114
